spoonful|ложка|một thìa
twist|неожиданный поворот|bước ngoặt
ending|концовка|kết thúc
spoiler|спойлер|tiết lộ tình tiết
review of a film|рецензия|bài nhận xét
rating of a film|рейтинг фильма|điểm phim
cinema|кинотеатр|rạp chiếu phim
aisle seat|место у прохода|ghế cạnh lối đi
popcorn|попкорн|bỏng ngô
3d glasses|очки 3D|kính 3D
screen size|размер экрана|kích thước màn hình
volume level|уровень громкости|mức âm lượng
pause button|кнопка паузы|nút tạm dừng
rewind|перемотка назад|tua lại
fast forward|перемотка вперёд|tua nhanh
playlist|плейлист|danh sách phát
podcast|подкаст|podcast
radio station|радиостанция|đài radio
news bulletin|выпуск новостей|bản tin
weather forecast|прогноз погоды|dự báo thời tiết
sports report|спортивный репортаж|tường thuật thể thao
headline|заголовок|tít báo
article in a paper|статья|bài báo
column|колонка|chuyên mục
journalist notebook|блокнот журналиста|sổ nhà báo
interview subject|герой интервью|người được phỏng vấn
quote|цитата|trích dẫn
source|источник|nguồn
fact check|проверка фактов|kiểm chứng
rumor|слух|tin đồn
breaking news|срочные новости|tin nóng
press conference|пресс-конференция|họp báo
spokesperson|представитель|người phát ngôn
statement|заявление|tuyên bố
opinion piece|авторская колонка|bài bình luận
editorial|передовица|bài xã luận
letter to the editor|письмо редактору|thư bạn đọc
subscription|подписка|thuê bao
print edition|печатное издание|bản in
online edition|сетевое издание|bản mạng
paywall|платный доступ|tường phí
comment section|раздел комментариев|mục bình luận
share button|кнопка «поделиться»|nút chia sẻ
like button|кнопка «нравится»|nút thích
follower|подписчик|người theo dõi
post on social media|публикация|bài đăng
hashtag|хештег|hashtag
profile photo|фото профиля|ảnh đại diện
privacy setting|настройка приватности|cài đặt riêng tư
block a user|заблокировать пользователя|chặn người dùng
report a post|пожаловаться на публикацию|báo cáo bài viết
notification badge|значок уведомления|huy hiệu thông báo
direct message|личное сообщение|tin nhắn riêng
group chat|групповой чат|nhóm chat
voice message|голосовое сообщение|tin nhắn thoại
video call|видеозвонок|cuộc gọi video
mute|без звука|tắt tiếng
camera off|камера выключена|tắt camera
screen share|демонстрация экрана|chia sẻ màn hình
meeting link|ссылка на встречу|liên kết cuộc họp
calendar invite|приглашение в календарь|lời mời lịch
time zone|часовой пояс|múi giờ
reminder|напоминание|lời nhắc
task list|список задач|danh sách việc
deadline tomorrow|срок завтра|hạn ngày mai
priority|приоритет|ưu tiên
status update|обновление статуса|cập nhật trạng thái
progress|прогресс|tiến độ
milestone|веха|cột mốc
feedback|обратная связь|phản hồi
approval|одобрение|sự chấp thuận
rejection|отказ|sự từ chối
revision|правка|bản sửa
draft|черновик|bản nháp
final version|итоговая версия|bản cuối
attachment size|размер вложения|kích thước tệp
file format|формат файла|định dạng tệp
compressed file|сжатый файл|tệp nén
folder structure|структура папок|cấu trúc thư mục
search result|результат поиска|kết quả tìm kiếm
filter option|параметр фильтра|tùy chọn lọc
sort order|порядок сортировки|thứ tự sắp xếp
spreadsheet|таблица|bảng tính
cell of a table|ячейка|ô bảng
row of a table|строка таблицы|hàng
column of a table|столбец|cột
formula|формула|công thức
chart|диаграмма|biểu đồ
pie chart|круговая диаграмма|biểu đồ tròn
bar chart|столбчатая диаграмма|biểu đồ cột
axis|ось|trục
legend|легенда|chú giải
average value|среднее значение|giá trị trung bình
total|итого|tổng
percentage|процент|phần trăm
fraction|дробь|phân số
decimal|десятичная дробь|số thập phân
ratio|отношение|tỷ lệ
estimate|оценка|ước tính
approximate number|приблизительное число|số gần đúng
exact number|точное число|số chính xác
increase|рост|sự tăng
decrease|снижение|sự giảm
trend|тенденция|xu hướng
forecast figure|прогнозная цифра|con số dự báo
sample size|размер выборки|cỡ mẫu
survey|опрос|khảo sát
questionnaire|анкета|bảng câu hỏi
respondent|респондент|người trả lời
anonymous|анонимный|ẩn danh
confidential|конфиденциальный|bí mật
consent|согласие|sự đồng ý
data protection|защита данных|bảo vệ dữ liệu
privacy policy|политика конфиденциальности|chính sách quyền riêng tư
terms of use|условия использования|điều khoản sử dụng
copyright notice|уведомление об авторском праве|thông báo bản quyền
license agreement|лицензионное соглашение|thỏa thuận giấy phép
open source|открытый код|mã nguồn mở
bug report|сообщение об ошибке|báo lỗi
feature request|запрос функции|yêu cầu tính năng
version number|номер версии|số phiên bản
release notes|заметки к выпуску|ghi chú phát hành
user guide|руководство пользователя|hướng dẫn dùng
troubleshooting|устранение неполадок|khắc phục sự cố
customer support|поддержка клиентов|hỗ trợ khách hàng
help desk|служба помощи|bàn trợ giúp
ticket number|номер заявки|số phiếu
response time|время ответа|thời gian phản hồi
satisfaction survey|опрос удовлетворённости|khảo sát hài lòng
complaint ticket|жалоба|phiếu khiếu nại
resolution|решение проблемы|cách giải quyết
refund request|запрос возврата|yêu cầu hoàn tiền
warranty claim|гарантийный случай|yêu cầu bảo hành
spare part|запчасть|phụ tùng
serial number|серийный номер|số seri
model number|номер модели|số model
user manual|инструкция|sách hướng dẫn
quick start|быстрый старт|bắt đầu nhanh
power button|кнопка питания|nút nguồn
volume knob|регулятор громкости|núm âm lượng
battery indicator|индикатор батареи|chỉ báo pin
charging cable|кабель зарядки|dây sạc
wireless charger|беспроводная зарядка|sạc không dây
bluetooth|блютуз|bluetooth
wifi network|сеть вайфай|mạng wifi
password hint|подсказка пароля|gợi ý mật khẩu
two factor|двухфакторная проверка|xác thực hai lớp
backup code|резервный код|mã dự phòng
login attempt|попытка входа|lần đăng nhập
locked account|заблокированный аккаунт|tài khoản bị khóa
reset link|ссылка для сброса|liên kết đặt lại
verification code|код подтверждения|mã xác nhận
inbox zero|пустой ящик|hộp thư trống
unread message|непрочитанное сообщение|tin chưa đọc
sent folder|папка отправленных|thư mục đã gửi
draft email|черновик письма|thư nháp
subject line|тема письма|dòng tiêu đề
carbon copy|копия письма|gửi kèm
blind copy|скрытая копия|gửi ẩn
reply all|ответить всем|trả lời tất cả
forward a message|переслать сообщение|chuyển tiếp
attachment limit|лимит вложения|giới hạn tệp đính kèm
out of office|автоответ об отсутствии|thư vắng mặt
signature block|блок подписи|khối chữ ký
meeting minutes file|файл протокола|tệp biên bản
action item|пункт к исполнению|việc cần làm
owner of a task|ответственный|người phụ trách
due date|дата исполнения|ngày đến hạn
overdue|просрочено|quá hạn
completed task|выполненная задача|việc đã xong
in progress|в работе|đang làm
blocked task|заблокированная задача|việc bị kẹt
dependency|зависимость|phụ thuộc
milestone review|обзор вехи|xem lại cột mốc
retrospective|ретроспектива|họp nhìn lại
standup meeting|короткая планёрка|họp đứng
agenda item|пункт повестки|mục chương trình
decision log|журнал решений|sổ quyết định
stakeholder|заинтересованная сторона|bên liên quan
requirement|требование|yêu cầu
scope|объём работ|phạm vi
risk|риск|rủi ro
mitigation|снижение риска|giảm thiểu
assumption|допущение|giả định
constraint of a project|ограничение проекта|ràng buộc
deliverable|результат поставки|sản phẩm bàn giao
timeline|график|dòng thời gian
resource|ресурс|nguồn lực
capacity|мощность|năng lực
workload|нагрузка|khối lượng việc
burnout|выгорание|kiệt sức
work life balance|баланс работы и жизни|cân bằng công việc và cuộc sống
remote work|удалённая работа|làm việc từ xa
hybrid work|гибридная работа|làm việc kết hợp
office day|день в офисе|ngày lên văn phòng
commute time|время в пути|thời gian đi lại
flexible hours|гибкий график|giờ linh hoạt
time off|отгул|nghỉ phép
sick leave|больничный|nghỉ ốm
annual leave|ежегодный отпуск|phép năm
public holiday pay|оплата праздника|lương ngày lễ
payroll|зарплатная ведомость|bảng lương
payslip|расчётный листок|phiếu lương
deduction|удержание|khoản khấu trừ
net pay|зарплата на руки|lương thực nhận
gross pay|зарплата до вычетов|lương gộp
tax return|налоговая декларация|tờ khai thuế
tax refund|возврат налога|hoàn thuế
pension|пенсия|lương hưu
contribution|взнос|khoản đóng góp
benefit package|социальный пакет|gói phúc lợi
health insurance|медицинская страховка|bảo hiểm y tế
dental plan|стоматологический план|gói nha khoa
parental leave|отпуск по уходу|nghỉ chăm con
maternity leave|декрет|nghỉ thai sản
paternity leave|отпуск отца|nghỉ chăm con của bố
notice period|срок предупреждения|thời gian báo trước
reference letter|рекомендательное письмо|thư giới thiệu
job offer|предложение о работе|thư mời làm việc
probation|испытательный срок|thời gian thử việc
performance review|оценка работы|đánh giá hiệu suất
goal setting|постановка целей|đặt mục tiêu
skill|навык|kỹ năng
strength at work|сильная сторона|điểm mạnh
weakness|слабая сторона|điểm yếu
training course|курс обучения|khóa đào tạo
certificate of completion|сертификат об окончании|chứng nhận hoàn thành
mentor|наставник|người cố vấn
mentee|подопечный|người được cố vấn
networking|налаживание связей|xây dựng quan hệ
career path|карьерный путь|con đường sự nghiệp
promotion criteria|критерии повышения|tiêu chí thăng chức
lateral move|горизонтальный переход|chuyển ngang
resignation letter|заявление об уходе|đơn xin thôi việc
exit interview|выходное интервью|phỏng vấn nghỉ việc
handover|передача дел|bàn giao
knowledge transfer|передача знаний|chuyển giao kiến thức
successor|преемник|người kế nhiệm
org chart|оргструктура|sơ đồ tổ chức
department|отдел|phòng ban
headquarters|штаб-квартира|trụ sở
branch office|филиал|chi nhánh
subsidiary|дочерняя компания|công ty con
startup|стартап|công ty khởi nghiệp
founder|основатель|nhà sáng lập
investor|инвестор|nhà đầu tư
shareholder|акционер|cổ đông
board of directors|совет директоров|hội đồng quản trị
annual report|годовой отчёт|báo cáo thường niên
quarter|квартал|quý
revenue|выручка|doanh thu
cost|затрата|chi phí
margin|маржа|biên lợi nhuận
cash flow|денежный поток|dòng tiền
asset|актив|tài sản
liability|обязательство|nợ phải trả
equity|собственный капитал|vốn chủ sở hữu
balance sheet|балансовый отчёт|bảng cân đối
invoice number|номер счёта|số hóa đơn
purchase order|заказ на покупку|đơn đặt hàng
vendor invoice|счёт поставщика|hóa đơn nhà cung cấp
accounts payable|кредиторская задолженность|phải trả
accounts receivable|дебиторская задолженность|phải thu
audit|аудит|kiểm toán
compliance|соответствие правилам|tuân thủ
regulation|регулирование|quy định
policy document|документ политики|văn bản chính sách
procedure|процедура|quy trình
guideline|руководство|hướng dẫn
standard|стандарт|tiêu chuẩn
checklist item|пункт чек-листа|mục danh sách kiểm tra
approval chain|цепочка согласования|chuỗi phê duyệt
signature required|нужна подпись|cần chữ ký
stamp of approval|печать одобрения|dấu chấp thuận
archive|архив|kho lưu trữ
record keeping|ведение учёта|lưu hồ sơ
retention period|срок хранения|thời hạn lưu
shredder|шредер|máy hủy tài liệu
confidential stamp|гриф секретно|dấu mật
access right|право доступа|quyền truy cập
read only|только чтение|chỉ đọc
edit permission|право редактировать|quyền sửa
admin role|роль администратора|vai quản trị
user role|роль пользователя|vai người dùng
guest access|гостевой доступ|quyền khách
login history|история входов|lịch sử đăng nhập
security question|контрольный вопрос|câu hỏi bảo mật
password manager|менеджер паролей|trình quản lý mật khẩu
encryption|шифрование|mã hóa
firewall|файрвол|tường lửa
malware|вредоносная программа|phần mềm độc hại
phishing|фишинг|lừa đảo giả mạo
suspicious link|подозрительная ссылка|liên kết đáng ngờ
software update|обновление программы|cập nhật phần mềm
patch note|заметка к патчу|ghi chú bản vá
downtime|простой|thời gian ngừng
outage|отключение|sự cố mất dịch vụ
backup plan|запасной план|kế hoạch dự phòng
recovery point|точка восстановления|điểm khôi phục
incident report|отчёт об инциденте|báo cáo sự cố
root cause|корневая причина|nguyên nhân gốc
workaround|обходное решение|cách tạm thời
known issue|известная проблема|lỗi đã biết
support hours|часы поддержки|giờ hỗ trợ
on call|на дежурстве по вызову|trực cuộc gọi
escalation|эскалация|chuyển cấp cao hơn
severity|серьёзность|mức độ nghiêm trọng
impact|влияние|tác động
urgency|срочность|mức khẩn
priority queue|очередь приоритетов|hàng ưu tiên
service level|уровень сервиса|mức dịch vụ
response target|целевое время ответа|mục tiêu phản hồi
customer journey|путь клиента|hành trình khách hàng
touchpoint|точка контакта|điểm chạm
pain point|болевая точка|điểm đau
expectation|ожидание|kỳ vọng
delight|восторг|niềm vui bất ngờ
loyalty|лояльность|lòng trung thành
churn|отток клиентов|tỷ lệ rời bỏ
retention|удержание|giữ chân
referral|рекомендация клиента|giới thiệu
testimonial|отзыв клиента|lời chứng thực
case study|кейс|nghiên cứu tình huống
white paper|аналитическая записка|sách trắng
brochure|брошюра|tờ gấp
flyer|листовка|tờ rơi
poster|плакат|áp phích
banner|баннер|băng rôn
logo|логотип|logo
brand|бренд|thương hiệu
slogan|слоган|khẩu hiệu
campaign|кампания|chiến dịch
target audience|целевая аудитория|đối tượng mục tiêu
reach of a campaign|охват|độ phủ
impression|показ|lượt hiển thị
click|клик|lượt nhấp
conversion|конверсия|chuyển đổi
landing page|посадочная страница|trang đích
call to action|призыв к действию|lời kêu gọi hành động
headline text|текст заголовка|dòng tiêu đề lớn
body copy|основной текст|nội dung chữ
font|шрифт|phông chữ
bold text|жирный текст|chữ đậm
italic|курсив|chữ nghiêng
alignment|выравнивание|canh lề
margin of a page|поле страницы|lề trang
header|верхний колонтитул|đầu trang
footer|нижний колонтитул|chân trang
page number|номер страницы|số trang
table of contents|оглавление|mục lục
index of a book|указатель|mục tra cứu
bibliography|библиография|thư mục tài liệu
citation|ссылка на источник|trích dẫn nguồn
footnote|сноска|chú thích cuối trang
appendix|приложение|phụ lục
abstract of a paper|аннотация|tóm tắt bài
thesis|диссертация|luận văn
hypothesis statement|формулировка гипотезы|câu giả thuyết
methodology|методология|phương pháp
finding|вывод исследования|kết quả phát hiện
limitation|ограничение исследования|hạn chế
further research|дальнейшие исследования|nghiên cứu tiếp
peer review|рецензирование|phản biện
journal article|статья в журнале|bài tạp chí
conference paper|доклад на конференции|bài hội nghị
keynote|пленарный доклад|bài phát biểu chính
workshop session|сессия воркшопа|phiên hội thảo
poster session|постерная сессия|phiên áp phích
Q and A|вопросы и ответы|hỏi đáp
panel discussion|панельная дискуссия|thảo luận bàn tròn
moderator|модератор|người điều phối
speaker bio|биография спикера|tiểu sử diễn giả
name badge|бейдж|thẻ tên
lanyard|лента для бейджа|dây đeo thẻ
conference hall|конференц-зал|hội trường
breakout room|комната для группы|phòng nhóm nhỏ
coffee break|кофе-брейк|giờ giải lao cà phê
networking lunch|обед для знакомств|bữa trưa giao lưu
closing remarks|заключительное слово|lời kết
certificate of attendance|сертификат участника|chứng nhận tham dự
feedback form|анкета обратной связи|mẫu phản hồi
follow up email|письмо после встречи|thư theo dõi
action after the meeting|действие после встречи|việc sau cuộc họp
next steps|следующие шаги|bước tiếp theo
open question|открытый вопрос|câu hỏi mở
decision made|принятое решение|quyết định đã chốt
parking lot of ideas|отложенные идеи|ý tưởng để sau
time box|ограничение по времени|khung thời gian
agenda owner|ведущий повестки|người giữ chương trình
minute taker|секретарь протокола|người ghi biên bản
quorum|кворум|số người đủ họp
vote|голосование|bỏ phiếu
majority|большинство|đa số
minority|меньшинство|thiểu số
abstain|воздержаться|phiếu trắng
motion|предложение на голосование|đề nghị biểu quyết
amendment to a motion|поправка|sửa đổi đề nghị
adjourn|закрыть заседание|bế mạc
convene|созвать|triệu tập
bylaw|уставное положение|điều lệ
charter|устав|hiến chương
mission statement|миссия|tuyên bố sứ mệnh
vision statement|видение|tuyên bố tầm nhìn
value of a company|ценность компании|giá trị công ty
code of conduct|кодекс поведения|quy tắc ứng xử
ethics|этика|đạo đức
conflict of interest|конфликт интересов|xung đột lợi ích
disclosure|раскрытие|công bố
whistleblower|информатор|người tố giác
investigation|расследование|cuộc điều tra
finding of fact|установленный факт|sự việc đã xác minh
recommendation report|рекомендательный отчёт|báo cáo kiến nghị
implementation|внедрение|triển khai
pilot project|пилотный проект|dự án thí điểm
rollout|запуск|triển khai rộng
adoption|принятие на вооружение|mức áp dụng
change management|управление изменениями|quản lý thay đổi
resistance to change|сопротивление изменениям|kháng cự thay đổi
communication plan|план коммуникации|kế hoạch truyền thông
town hall|общее собрание|họp toàn thể
announcement|объявление|thông báo
intranet|интранет|mạng nội bộ
newsletter|рассылка|bản tin
bulletin board|доска объявлений|bảng thông báo
suggestion box|ящик предложений|hòm góp ý
employee survey|опрос сотрудников|khảo sát nhân viên
engagement score|индекс вовлечённости|điểm gắn kết
recognition|признание заслуг|sự ghi nhận
award|награда|giải thưởng
bonus payment|выплата премии|khoản thưởng
team building|тимбилдинг|gắn kết nhóm
offsite|выездная встреча|họp ngoài văn phòng
retreat|ретрит команды|kỳ nghỉ tập trung
celebration of success|празднование успеха|ăn mừng thành công
lesson learned|извлечённый урок|bài học rút ra
best practice|лучшая практика|thực hành tốt
playbook|сборник приёмов|sổ tay cách làm
template|шаблон|mẫu
checklist for launch|чек-лист запуска|danh sách kiểm tra ra mắt
go live|запуск в работу|đưa vào hoạt động
hypercare|усиленная поддержка после запуска|hỗ trợ sát sau triển khai
stabilization|стабилизация|ổn định
continuous improvement|непрерывное улучшение|cải tiến liên tục
quality check|проверка качества|kiểm tra chất lượng
defect|дефект|khuyết tật
rework|переделка|làm lại
scrap|брак|phế phẩm
yield rate|выход годных|tỷ lệ đạt
inspection|инспекция|kiểm tra
sample test|выборочная проверка|kiểm mẫu
specification|спецификация|đặc tả
tolerance|допуск|dung sai
calibration|калибровка|hiệu chuẩn
maintenance schedule|график обслуживания|lịch bảo trì
spare parts list|список запчастей|danh mục phụ tùng
downtime log|журнал простоев|sổ thời gian dừng
safety briefing|инструктаж по безопасности|buổi phổ biến an toàn
hazard|опасность|mối nguy
protective equipment|средства защиты|đồ bảo hộ
incident near miss|почти произошедший инцидент|suýt xảy ra sự cố
first aid kit|аптечка|hộp sơ cứu
evacuation plan|план эвакуации|kế hoạch sơ tán
assembly point|место сбора|điểm tập trung
fire drill|учебная тревога|diễn tập cháy
emergency contact|контакт для экстренной связи|liên hệ khẩn cấp
medical form|медицинская анкета|mẫu y tế
allergy note|пометка об аллергии|ghi chú dị ứng
blood type|группа крови|nhóm máu
emergency number|номер экстренной службы|số khẩn cấp
ambulance call|вызов скорой|gọi xe cứu thương
police report|заявление в полицию|báo cáo cảnh sát
incident scene|место происшествия|hiện trường
witness statement|показания свидетеля|lời khai nhân chứng
insurance claim form|бланк страхового случая|mẫu yêu cầu bảo hiểm
photo of damage|фото повреждения|ảnh thiệt hại
repair estimate|смета ремонта|báo giá sửa chữa
replacement cost|стоимость замены|chi phí thay thế
deductible|франшиза|mức khấu trừ
policy number|номер полиса|số hợp đồng bảo hiểm
coverage limit|лимит покрытия|hạn mức bảo hiểm
exclusion clause|исключение из покрытия|điều khoản loại trừ
claim status|статус заявления|trạng thái yêu cầu
adjuster|оценщик ущерба|giám định viên
settlement|урегулирование|thỏa thuận bồi thường
payout|выплата|khoản chi trả
renewal date|дата продления|ngày gia hạn
premium increase|рост взноса|tăng phí
discount for safe driving|скидка за безаварийность|giảm phí lái an toàn
no claim bonus|бонус за отсутствие обращений|thưởng không yêu cầu
roadside assistance|помощь на дороге|cứu hộ đường bộ
tow truck|эвакуатор|xe kéo
flat tire|спущенное колесо|lốp xẹp
jump start|прикуривание|câu bình
dead battery|севший аккумулятор|ắc quy hết
engine warning|лампа двигателя|đèn báo động cơ
oil change|замена масла|thay dầu
brake pad|тормозная колодка|má phanh
alignment of wheels|развал-схождение|cân chỉnh bánh
inspection sticker|стикер техосмотра|tem đăng kiểm
registration|регистрация авто|đăng ký xe
insurance card|страховая карточка|thẻ bảo hiểm xe
driver handbook|правила дорожного движения|sổ luật giao thông
yield sign|знак уступи дорогу|biển nhường đường
stop sign|знак стоп|biển dừng
speed camera|камера контроля скорости|camera tốc độ
parking ticket|штраф за парковку|phiếu phạt đỗ xe
tow away zone|зона эвакуации|khu vực cấm đỗ
one way street|улица с односторонним движением|đường một chiều
pedestrian zone|пешеходная зона|khu vực đi bộ
bike lane|велодорожка|làn xe đạp
bus lane|автобусная полоса|làn xe buýt
carpool|совместная поездка|đi chung xe
ride share|заказ машины через приложение|gọi xe ứng dụng
fare estimate|оценка стоимости поездки|ước tính tiền xe
pickup point|точка посадки|điểm đón
drop off point|точка высадки|điểm trả
driver rating|оценка водителя|điểm tài xế
lost item in a car|вещь, забытая в машине|đồ bỏ quên trên xe
route change|изменение маршрута|đổi tuyến
traffic accident|дорожная авария|tai nạn giao thông
minor collision|лёгкое столкновение|va chạm nhẹ
witness of an accident|свидетель аварии|nhân chứng tai nạn
exchange of details|обмен данными|trao đổi thông tin
police attendance|приезд полиции|cảnh sát có mặt
medical check after a crash|осмотр после аварии|kiểm tra sau va chạm
shock|шок|sốc
bruise on the arm|синяк на руке|vết bầm ở tay
whiplash|хлыстовая травма шеи|chấn thương cổ
concussion|сотрясение|chấn động não
rest and recover|отдохнуть и восстановиться|nghỉ để hồi phục
follow up visit|повторный визит|tái khám
physiotherapy|физиотерапия|vật lý trị liệu
exercise plan|план упражнений|kế hoạch tập
pain scale|шкала боли|thang đau
medication schedule|график приёма лекарств|lịch uống thuốc
side effect note|заметка о побочном эффекте|ghi tác dụng phụ
allergy bracelet|браслет об аллергии|vòng cảnh báo dị ứng
inhaler|ингалятор|ống hít
insulin|инсулин|insulin
blood sugar|сахар в крови|đường huyết
cholesterol|холестерин|cholesterol
vaccine record|карта прививок|sổ tiêm chủng
booster shot|ревакцинация|mũi nhắc
flu season|сезон гриппа|mùa cúm
hand sanitizer|антисептик для рук|nước rửa tay
face mask|маска для лица|khẩu trang
social distance|социальная дистанция|khoảng cách
isolation|изоляция|cách ly
quarantine|карантин|cách ly kiểm dịch
symptom diary|дневник симптомов|nhật ký triệu chứng
telemedicine|телемедицина|khám từ xa
prescription refill|повторный рецепт|kê lại thuốc
generic drug|дженерик|thuốc gốc
brand name drug|оригинальный препарат|thuốc biệt dược
pharmacy hours|часы аптеки|giờ nhà thuốc
over the counter|без рецепта|không cần đơn
controlled medicine|лекарство строгого учёта|thuốc kiểm soát
dosage instruction|инструкция по дозе|hướng dẫn liều
with food|во время еды|uống cùng thức ăn
on an empty stomach|натощак|khi đói
twice a day|дважды в день|hai lần một ngày
as needed|по необходимости|khi cần
finish the course|пройти курс до конца|uống hết liệu trình
antibiotic resistance|устойчивость к антибиотикам|kháng kháng sinh
wound dressing|перевязка|băng vết thương
stitches|швы|mũi khâu
scar care|уход за шрамом|chăm sẹo
physical exam|медосмотр|khám sức khỏe
blood test|анализ крови|xét nghiệm máu
urine test|анализ мочи|xét nghiệm nước tiểu
scan result|результат сканирования|kết quả chụp
referral to a specialist|направление к специалисту|giấy chuyển chuyên khoa
waiting list|лист ожидания|danh sách chờ
second opinion|второе мнение|ý kiến thứ hai
informed consent|информированное согласие|đồng ý sau khi được giải thích
discharge summary|выписка|giấy ra viện
follow up in a week|контроль через неделю|tái khám sau một tuần
recovery at home|выздоровление дома|hồi phục tại nhà
care instructions|инструкции по уходу|hướng dẫn chăm sóc
warning sign|тревожный признак|dấu hiệu cảnh báo
emergency room|приёмное отделение|phòng cấp cứu
triage|сортировка пациентов|phân loại cấp cứu
vital signs|жизненные показатели|sinh hiệu
oxygen|кислород|oxy
IV drip|капельница|truyền dịch
monitor|монитор|màn hình theo dõi
nurse station|пост медсестры|trạm y tá
visiting hours|часы посещений|giờ thăm
get well card|открытка с пожеланием здоровья|thiệp chúc mau khỏe
flower delivery|доставка цветов|giao hoa
quiet room|тихая палата|phòng yên tĩnh
shared ward|общая палата|phòng nhiều giường
private room|отдельная палата|phòng riêng
hospital gown|больничная рубашка|áo bệnh viện
bed rail|бортик кровати|thanh chắn giường
call button|кнопка вызова|nút gọi y tá
meal tray|поднос с едой|khay cơm
discharge papers|документы на выписку|giấy xuất viện
pharmacy pickup|получение лекарств|nhận thuốc
transport home|дорога домой|đưa về nhà
rest day|день отдыха|ngày nghỉ ngơi
gentle walk|спокойная прогулка|đi bộ nhẹ
hydration|питьё воды|bù nước
sleep schedule|режим сна|giờ ngủ
stress relief|снятие стресса|giảm căng thẳng
breathing exercise|дыхательное упражнение|bài tập thở
stretch|растяжка|kéo giãn
posture|осанка|tư thế
ergonomic chair|эргономичное кресло|ghế công thái học
standing desk|стол для работы стоя|bàn đứng
screen break|перерыв от экрана|nghỉ màn hình
eye strain|напряжение глаз|mỏi mắt
blue light|синий свет|ánh sáng xanh
wrist rest|подставка под запястье|kê cổ tay
footrest|подставка для ног|kê chân
noise cancelling|шумоподавление|chống ồn
focus time|время для концентрации|giờ tập trung
deep work|глубокая работа|làm việc sâu
interruption|прерывание|sự ngắt quãng
context switch|переключение задачи|đổi ngữ cảnh
priority list|список приоритетов|danh sách ưu tiên
daily plan|план на день|kế hoạch ngày
weekly review|обзор недели|xem lại tuần
habit|привычка|thói quen
routine|распорядок|thói quen hàng ngày
morning routine|утренний ритуал|thói quen buổi sáng
evening routine|вечерний ритуал|thói quen buổi tối
alarm snooze|повторный сигнал|báo lại
commute podcast|подкаст в дороге|nghe podcast lúc đi
reading time|время для чтения|giờ đọc
journal entry|запись в дневнике|mẩu nhật ký
gratitude|благодарность|lòng biết ơn
goal for the month|цель на месяц|mục tiêu tháng
small step|маленький шаг|bước nhỏ
progress note|заметка о прогрессе|ghi tiến bộ
setback|неудача на пути|bước lùi
restart|начать заново|bắt đầu lại
consistency|постоянство|sự đều đặn
motivation|мотивация|động lực
discipline|дисциплина|kỷ luật
patience|терпение|sự kiên nhẫn
curiosity|любопытство|sự tò mò
confidence|уверенность|sự tự tin
courage|смелость|lòng can đảm
kindness|доброта|lòng tốt
respect|уважение|sự tôn trọng
honesty|честность|sự trung thực
fairness|справедливость|sự công bằng
responsibility|ответственность|trách nhiệm
reliability|надёжность|độ tin cậy
creativity|творчество|sự sáng tạo
imagination|воображение|trí tưởng tượng
memory|память|trí nhớ
attention|внимание|sự chú ý
concentration|концентрация|sự tập trung
decision|решение|quyết định
doubt feeling|сомнение|sự nghi ngờ
hope feeling|надежда|niềm hy vọng
fear feeling|страх|nỗi sợ
joy feeling|радость|niềm vui
pride|гордость|niềm tự hào
shame|стыд|sự xấu hổ
guilt|вина|cảm giác tội lỗi
envy|зависть|sự ghen tị
jealousy|ревность|sự ghen
relief|облегчение|sự nhẹ nhõm
surprise feeling|удивление|sự ngạc nhiên
disappointment|разочарование|sự thất vọng
frustration|раздражение|sự bực bội
boredom|скука|sự chán
excitement|волнение радостное|sự hào hứng
anxiety|тревога|lo âu
calm feeling|спокойствие|sự bình tĩnh
loneliness|одиночество|sự cô đơn
belonging|чувство принадлежности|cảm giác thuộc về
trust feeling|доверие|niềm tin
forgiveness|прощение|sự tha thứ
regret|сожаление|sự hối tiếc
nostalgia|ностальгия|nỗi nhớ
wonder|изумление|sự kinh ngạc
awe|благоговение|cảm giác choáng ngợp
contentment|удовлетворённость|sự mãn nguyện
serenity|безмятежность|sự thanh thản
grief|горе|nỗi đau mất mát
mourning|траур|tang chế
comfort|утешение|sự an ủi
empathy|эмпатия|sự đồng cảm
sympathy|сочувствие|lòng thương cảm
compassion|сострадание|lòng trắc ẩn
gratitude note|записка благодарности|mẩu giấy cảm ơn
apology letter|письмо с извинением|thư xin lỗi
promise|обещание|lời hứa
compromise|компромисс|sự thỏa hiệp
argument|ссора|cuộc cãi vã
reconciliation|примирение|sự hòa giải
boundary|личная граница|ranh giới
consent in a relationship|согласие в отношениях|sự đồng ý trong quan hệ
respect for privacy|уважение к личному|tôn trọng riêng tư
shared responsibility|общая ответственность|trách nhiệm chung
household chore|домашняя обязанность|việc nhà
cooking duty|дежурство по кухне|phần nấu ăn
cleaning rota|график уборки|lịch dọn
bill sharing|деление счетов|chia hóa đơn
quiet hours|часы тишины|giờ yên tĩnh
house rule|правило дома|nội quy nhà
guest policy|правила для гостей|quy định khách
pet policy|правила о животных|quy định thú cưng
recycling rule|правило сортировки|quy tắc tái chế
neighbor greeting|приветствие соседу|chào hàng xóm
community meeting|собрание жителей|họp cộng đồng
notice board|доска объявлений дома|bảng tin
lost and found|бюро находок|mất và tìm thấy
package room|комната для посылок|phòng nhận kiện
